regime,model,size,sigma,arm,makespan
E1_c2,abstraction,6,0.0,random,130.0
E1_c2,abstraction,6,0.0,random,153.0
E1_c2,abstraction,6,0.0,random,159.0
E1_c2,abstraction,6,0.0,random,165.0
E1_c2,abstraction,6,0.0,random,228.0
E1_c2,abstraction,6,0.0,random,179.0
E1_c2,abstraction,6,0.0,random,209.0
E1_c2,abstraction,6,0.0,random,184.0
E1_c2,abstraction,6,0.0,random,208.0
E1_c2,abstraction,6,0.0,random,170.0
E1_c2,abstraction,6,0.0,random,179.0
E1_c2,abstraction,6,0.0,random,175.0
E1_c2,abstraction,6,0.0,random,159.0
E1_c2,abstraction,6,0.0,random,213.0
E1_c2,abstraction,6,0.0,random,189.0
E1_c2,abstraction,6,0.0,random,193.0
E1_c2,abstraction,6,0.0,random,179.0
E1_c2,abstraction,6,0.0,random,174.0
E1_c2,abstraction,6,0.0,random,223.0
E1_c2,abstraction,6,0.0,random,175.0
E1_c2,abstraction,6,0.0,random,155.0
E1_c2,abstraction,6,0.0,random,163.0
E1_c2,abstraction,6,0.0,random,144.0
E1_c2,abstraction,6,0.0,random,143.0
E1_c2,abstraction,6,0.0,random,174.0
E1_c2,abstraction,6,0.0,random,228.0
E1_c2,abstraction,6,0.0,random,169.0
E1_c2,abstraction,6,0.0,random,208.0
E1_c2,abstraction,6,0.0,random,183.0
E1_c2,abstraction,6,0.0,random,170.0
E1_c2,abstraction,6,0.0,random,178.0
E1_c2,abstraction,6,0.0,random,164.0
E1_c2,abstraction,6,0.0,random,208.0
E1_c2,abstraction,6,0.0,random,200.0
E1_c2,abstraction,6,0.0,random,164.0
E1_c2,abstraction,6,0.0,random,169.0
E1_c2,abstraction,6,0.0,random,139.0
E1_c2,abstraction,6,0.0,random,213.0
E1_c2,abstraction,6,0.0,random,174.0
E1_c2,abstraction,6,0.0,random,135.0
E1_c2,abstraction,6,0.0,random,139.0
E1_c2,abstraction,6,0.0,random,228.0
E1_c2,abstraction,6,0.0,random,165.0
E1_c2,abstraction,6,0.0,random,164.0
E1_c2,abstraction,6,0.0,random,118.0
E1_c2,abstraction,6,0.0,random,164.0
E1_c2,abstraction,6,0.0,random,184.0
E1_c2,abstraction,6,0.0,random,144.0
E1_c2,abstraction,6,0.0,random,145.0
E1_c2,abstraction,6,0.0,random,228.0
E1_c2,abstraction,6,0.0,random,203.0
E1_c2,abstraction,6,0.0,random,143.0
E1_c2,abstraction,6,0.0,random,170.0
E1_c2,abstraction,6,0.0,random,144.0
E1_c2,abstraction,6,0.0,random,174.0
E1_c2,abstraction,6,0.0,random,228.0
E1_c2,abstraction,6,0.0,random,164.0
E1_c2,abstraction,6,0.0,random,184.0
E1_c2,abstraction,6,0.0,random,134.0
E1_c2,abstraction,6,0.0,random,159.0
E1_c2,abstraction,6,0.0,random,208.0
E1_c2,abstraction,6,0.0,random,189.0
E1_c2,abstraction,6,0.0,random,183.0
E1_c2,abstraction,6,0.0,random,149.0
E1_c2,abstraction,6,0.0,random,131.0
E1_c2,abstraction,6,0.0,random,184.0
E1_c2,abstraction,6,0.0,random,233.0
E1_c2,abstraction,6,0.0,random,219.0
E1_c2,abstraction,6,0.0,random,155.0
E1_c2,abstraction,6,0.0,random,154.0
E1_c2,abstraction,6,0.0,random,154.0
E1_c2,abstraction,6,0.0,random,173.0
E1_c2,abstraction,6,0.0,random,179.0
E1_c2,abstraction,6,0.0,random,164.0
E1_c2,abstraction,6,0.0,random,223.0
E1_c2,abstraction,6,0.0,random,163.0
E1_c2,abstraction,6,0.0,random,223.0
E1_c2,abstraction,6,0.0,random,145.0
E1_c2,abstraction,6,0.0,random,160.0
E1_c2,abstraction,6,0.0,random,144.0
E1_c2,abstraction,6,0.0,random,169.0
E1_c2,abstraction,6,0.0,random,150.0
E1_c2,abstraction,6,0.0,random,208.0
E1_c2,abstraction,6,0.0,random,148.0
E1_c2,abstraction,6,0.0,random,223.0
E1_c2,abstraction,6,0.0,random,198.0
E1_c2,abstraction,6,0.0,random,178.0
E1_c2,abstraction,6,0.0,random,203.0
E1_c2,abstraction,6,0.0,random,149.0
E1_c2,abstraction,6,0.0,random,203.0
E1_c2,abstraction,6,0.0,random,138.0
